participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0570,24.5,male,high,3.0,1.75,0.0794031468829401,5,1.30085853509739,1.0,-1.98944821387429
sub-0572,23.0,female,medium,4.0,2.25,0.915956519507576,3,-0.24066282671439,3.0,-0.790211400344042
sub-0573,21.5,male,high,6.0,1.25,-0.757150225741696,1,-1.78218418852617,7.0,1.60826222671646
sub-0575,21.5,male,high,3.0,3.0,2.17078657844453,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0577,21.75,male,low,2.0,1.0,-1.17542691205401,3,-0.24066282671439,4.33333333333333,0.0092798086761266
sub-0579,24.5,female,medium,3.5,1.25,-0.757150225741696,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0586,23.0,male,low,4.0,2.25,0.915956519507576,3,-0.24066282671439,5.0,0.409025413186211
sub-0589,25.25,male,medium,3.0,1.25,-0.757150225741696,4,0.530097854191498,3.66666666666667,-0.390465795833958
sub-0590,21.25,male,high,3.0,1.0,-1.17542691205401,4,0.530097854191498,5.66666666666667,0.808771017696296
sub-0591,23.0,female,medium,5.0,1.75,0.0794031468829401,4,0.530097854191498,2.0,-1.38982980710917
sub-0594,23.25,female,high,2.5,1.0,-1.17542691205401,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0595,23.0,male,high,5.5,1.75,0.0794031468829401,4,0.530097854191498,1.0,-1.98944821387429
sub-0596,24.0,male,low,3.0,1.0,-1.17542691205401,1,-1.78218418852617,7.0,1.60826222671646
sub-0597,21.75,male,medium,2.0,1.75,0.0794031468829401,4,0.530097854191498,3.33333333333333,-0.590338598089
sub-0598,22.5,female,high,6.0,1.25,-0.757150225741696,3,-0.24066282671439,6.33333333333333,1.20851662220638
sub-0600,25.25,female,low,3.0,1.75,0.0794031468829401,2,-1.01142350762028,6.0,1.00864381995134
sub-0601,25.75,female,low,6.0,1.75,0.0794031468829401,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0602,21.25,male,medium,3.5,1.5,-0.338873539429378,6,2.07161921600328,5.0,0.409025413186211
sub-0605,24.25,male,high,5.0,2.25,0.915956519507576,2,-1.01142350762028,6.0,1.00864381995134
sub-0606,22.0,male,high,5.0,2.0,0.497679833195258,4,0.530097854191498,1.33333333333333,-1.78957541161925
sub-0607,20.5,female,low,5.0,2.5,1.33423320581989,3,-0.24066282671439,6.0,1.00864381995134
sub-0608,22.75,female,high,3.5,2.0,0.497679833195258,3,-0.24066282671439,5.66666666666667,0.808771017696296
sub-0609,23.75,male,high,6.0,1.75,0.0794031468829401,4,0.530097854191498,5.0,0.409025413186211
